player,bowled,faced,bowler_type,bowler_arm,spin_kind,bat_hand,source_text,bat_source_text
V Kohli,264,7123,pace,right,,right,Right-arm Fast bowling medium,Right-handed
RA Jadeja,4329,2816,spin,left,finger,left,Slow left-arm orthodox,Left-handed
RG Sharma,349,5656,spin,right,finger,right,Right-arm off break,Right-handed
SP Narine,4721,1178,spin,right,finger,left,Right-arm off break,Left-handed
R Ashwin,4868,728,spin,right,finger,right,Right-arm off-break,Right-handed
S Dhawan,49,5481,spin,right,finger,left,Right-arm off break,Left-handed
AR Patel,3633,1635,spin,left,finger,left,Slow left-arm orthodox,Left-handed
B Kumar,4769,392,pace,right,,right,Right-arm Fast bowling medium,Right-handed
SK Raina,930,4174,spin,right,finger,left,Right-arm off-spin,Left-handed
SR Watson,2137,2888,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
DA Warner,2,4844,spin,right,wrist,left,Right arm Leg spin leg break,Left-handed
DJ Bravo,3296,1247,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
PP Chawla,3895,580,spin,right,wrist,left,Right-arm leg break,Left-handed
AM Rahane,6,4391,spin,right,finger,right,Right-arm off spin,Right-handed
KH Pandya,2779,1539,spin,left,finger,left,Slow left arm orthodox,Left-handed
KL Rahul,0,4293,,,,right,,Right-handed
YS Chahal,4167,89,spin,right,wrist,right,Right-arm leg break,Right-handed
Harbhajan Singh,3496,636,spin,right,finger,right,Right-arm off-spin,Right-handed
MS Dhoni,0,4101,,,,right,Right-arm Pace bowling medium,Right-handed
JH Kallis,1799,2291,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
CH Gayle,584,3502,spin,right,finger,left,Right-arm off-break,Left-handed
KA Pollard,1586,2433,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Rashid Khan,3572,432,spin,right,wrist,right,Leg spin Leg break googly,Right-handed
HH Pandya,1865,2110,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
RV Uthappa,0,3925,,,,right,Right-arm pace bowling medium,Right-handed
A Mishra,3444,440,spin,right,wrist,right,Right-arm leg break,Right-handed
JJ Bumrah,3768,89,pace,right,,right,Right-arm Fast bowling fast,Right-handed
SV Samson,0,3770,,,,right,,Right-handed
KD Karthik,0,3684,,,,right,Right-arm off break,Right-handed
F du Plessis,6,3605,spin,right,wrist,right,Right-arm leg-break,Right-handed
G Gambhir,0,3524,,,,left,Right-arm leg spin leg break,Left-handed
YK Pathan,1184,2330,spin,right,finger,right,Right arm off spin off break,Right-handed
AD Russell,1885,1623,pace,right,,right,Right-arm Fast bowling fast,Right-handed
AT Rayudu,0,3490,,,,right,Right-arm off-spin,Right-handed
AB de Villiers,0,3479,,,,right,Right arm medium,Right-handed
MK Pandey,0,3402,,,,right,Right-arm medium,Right-handed
UT Yadav,3184,211,pace,right,,right,Right-arm fast bowling fast,Right-handed
Sandeep Sharma,3291,79,pace,right,,right,Right-arm fast medium,Right-handed
Shubman Gill,0,3339,,,,right,Right-arm off break,Right-handed
SS Iyer,6,3209,spin,right,wrist,right,Right-arm leg break,Right-handed
JC Buttler,0,3206,,,,right,,Right-handed
SA Yadav,6,3153,spin,right,finger,right,Right-arm off break,Right-handed
Mohammed Shami,3026,116,pace,right,,right,Right-arm fast bowling fast,Right-handed
IK Pathan,2113,981,pace,left,,left,Left-arm medium-fast,Left-handed
Yuvraj Singh,882,2205,spin,left,finger,left,Slow left-arm orthodox,Left-handed
SL Malinga,2974,103,pace,right,,right,Right-arm fast bowling fast,Right-handed
TA Boult,2888,90,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
Mohammed Siraj,2834,144,pace,right,,right,Right-arm Fast bowling fast,Right-handed
P Kumar,2637,323,pace,right,,right,Right-arm medium-fast,Right-handed
GJ Maxwell,1047,1895,spin,right,finger,right,Right-arm off break,Right-handed
HV Patel,2654,250,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
RR Pant,0,2727,,,,left,Right-arm Pace bowling medium,Left-handed
K Rabada,2386,256,pace,right,,left,Right-arm Fast bowling fast,Left-handed
SN Thakur,2355,276,pace,right,,right,Right-arm Fast bowling medium,Right-handed
I Sharma,2546,71,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Q de Kock,0,2615,,,,left,role = Wicket-keeper,Left-handed
MM Sharma,2471,140,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
Kuldeep Yadav,2336,263,spin,left,wrist,left,Left-arm wrist spin,Left-handed
JD Unadkat,2418,173,pace,left,,right,Left-arm Medium bowler medium,Right-handed
Ishan Kishan,1,2579,spin,right,wrist,left,"Leg break, Off-break",Left-handed
MP Stoinis,975,1588,pace,right,,right,Right-arm Fast bowling medium,Right-handed
N Rana,223,2314,spin,right,finger,left,Right-arm off break,Left-handed
JA Morkel,1807,711,pace,right,,left,Right-arm Fast bowling medium-fast,Left-handed
R Vinay Kumar,2179,289,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
PA Patel,0,2442,,,,left,,Left-handed
DA Miller,0,2440,,,,left,Right-arm off break,Left-handed
DW Steyn,2276,163,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Z Khan,2276,141,pace,left,,right,Left-arm fast-medium,Right-handed
JP Duminy,701,1680,spin,right,finger,left,Right-arm Off spin offbreak,Left-handed
WP Saha,0,2368,,,,right,Right-arm off-spin,Right-handed
DR Smith,557,1803,pace,right,,right,Right-arm Fast bowling medium,Right-handed
PJ Cummins,1883,437,pace,right,,right,Right-arm pace bowling fast,Right-handed
DL Chahar,2171,105,pace,right,,right,Right arm Fast bowling medium,Right-handed
BB McCullum,0,2267,,,,right,Right-arm Fast bowling medium Right-arm off break,Right-handed
M Vijay,37,2208,spin,right,finger,right,Right-arm off break,Right-handed
CV Varun,2187,56,spin,right,wrist,right,Right-arm leg break googly,Right-handed
Arshdeep Singh,2167,49,pace,left,,left,Left-arm Fast Bowling medium-fast,Left-handed
CH Morris,1794,413,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
Shakib Al Hasan,1515,663,spin,left,finger,left,Slow left-arm orthodox,Left-handed
RD Gaikwad,0,2154,,,,right,Right arm off break,Right-handed
MA Agarwal,0,2144,,,,right,Right-arm off break,Right-handed
SR Tendulkar,37,2044,spin,right,wrist,right,Right-arm leg break Right-arm off break }},Right-handed
SM Curran,1308,761,pace,left,,left,Left-arm Fast bowling medium-fast,Left-handed
A Nehra,1974,63,pace,left,,right,Left arm Fast bowling fast,Right-handed
SPD Smith,2,1994,spin,right,wrist,right,Right-arm leg break,Right-handed
PP Ojha,1945,45,spin,left,finger,left,Slow left arm orthodox,Left-handed
DS Kulkarni,1876,113,pace,right,,right,Right-arm medium,Right-handed
V Sehwag,138,1833,spin,right,finger,right,Right arm off spin off break,Right-handed
RP Singh,1874,78,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
R Bhatia,1661,290,pace,right,,right,Right arm medium-fast,Right-handed
Ravi Bishnoi,1857,71,spin,right,wrist,right,Right-arm legbreak,Right-handed
R Dravid,0,1918,,,,right,Right arm off break,Right-handed
KV Sharma,1611,307,spin,right,wrist,left,Right arm leg break googly,Left-handed
SE Marsh,0,1908,,,,left,Slow left-arm orthodox,Left-handed
JC Archer,1658,232,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Avesh Khan,1840,46,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
MR Marsh,593,1291,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Washington Sundar,1186,689,spin,right,finger,left,Right-arm off break,Left-handed
M Prasidh Krishna,1831,31,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
R Tewatia,866,994,spin,right,wrist,left,Right-arm leg break,Left-handed
RD Chahar,1728,127,spin,right,wrist,right,Right-arm leg break,Right-handed
Abhishek Sharma,374,1471,spin,left,finger,left,Slow left-arm orthodox,Left-handed
M Morkel,1699,93,pace,right,,left,Right-arm fast bowling fast,Left-handed
MC Henriques,979,801,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
D Padikkal,0,1779,,,,left,Right-arm off break,Left-handed
B Sai Sudharsan,0,1760,,,,left,Right-arm leg break,Left-handed
YBK Jaiswal,1,1750,spin,right,wrist,left,Right-arm leg break,Left-handed
KK Ahmed,1741,9,pace,left,,right,Left-arm Fast bowling fast medium,Right-handed
KS Williamson,18,1731,spin,right,finger,right,Right-arm off-break,Right-handed
AJ Finch,44,1692,spin,left,finger,right,Slow left-arm orthodox,Right-handed
MM Ali,869,865,spin,right,finger,left,Right-arm off break,Left-handed
S Dube,162,1555,pace,right,,left,Right-arm Fast bowling medium fast,Left-handed
RA Tripathi,6,1707,pace,right,,right,Right-arm Fast bowling medium,Right-handed
R Parag,334,1357,spin,right,wrist,right,"Right-arm Off spin off break , Leg spin leg break",Right-handed
JP Faulkner,1276,405,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
MEK Hussey,0,1648,,,,left,Right-arm Medium pace bowling medium,Left-handed
AB Dinda,1589,50,pace,right,,right,Right-arm Fast bowling fast medium,Right-handed
T Natarajan,1631,7,pace,left,,left,Left-arm Fast bowling medium,Left-handed
N Pooran,0,1626,,,,left,Right-arm off break,Left-handed
L Balaji,1574,50,pace,right,,right,Right-arm fast bowling fast medium,Right-handed
SK Trivedi,1557,61,pace,right,,right,Right-arm fast bowling fast medium,Right-handed
M Muralitharan,1577,30,spin,right,finger,right,Right-arm off spin off break,Right-handed
SC Ganguly,280,1326,pace,right,,left,Right-arm fast bowling medium,Left-handed
DJ Hooda,391,1212,spin,right,finger,right,Right-arm off break,Right-handed
JO Holder,1285,272,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
AC Gilchrist,1,1555,spin,right,,left,manual (docs/BOWLER_STYLE_TODO.md),Left-handed
MK Tiwary,45,1489,spin,right,wrist,right,Right-arm leg break,Right-handed
S Nadeem,1444,88,spin,left,finger,right,Slow left-arm orthodox,Right-handed
DPMD Jayawardene,0,1520,,,,right,Right-arm Fast bowling medium,Right-handed
AK Markram,230,1263,spin,right,finger,right,Right-arm off break,Right-handed
MG Johnson,1297,168,pace,left,,left,Left-arm Fast bowling fast,Left-handed
Mustafizur Rahman,1419,24,pace,left,,left,Left-arm fast-medium,Left-handed
SK Warne,1223,219,spin,right,wrist,right,Right-arm Leg spin leg break,Right-handed
BA Stokes,723,718,pace,right,,left,Right-arm Fast bowling fast-medium,Left-handed
Mandeep Singh,12,1418,pace,right,,right,Right-arm medium,Right-handed
KC Sangakkara,0,1424,,,,left,Right-arm off spin off break,Left-handed
DJ Hussey,323,1101,spin,right,finger,right,Right-arm Off spin offbreak,Right-handed
MM Patel,1382,41,pace,right,,right,Right arm fast bowling fast medium,Right-handed
MJ McClenaghan,1346,73,pace,left,,left,Left-arm Fast bowling fast medium,Left-handed
AD Mathews,807,599,pace,right,,right,Right-arm Fast bowling medium,Right-handed
BJ Hodge,238,1153,spin,right,finger,right,Right-arm off break,Right-handed
MA Starc,1258,122,pace,left,,left,Left-arm Fast bowling fast,Left-handed
Imran Tahir,1340,37,spin,right,wrist,right,Right-arm leg spin leg break,Right-handed
TG Southee,1262,108,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
Tilak Varma,23,1344,spin,right,finger,left,right-arm off-break,Left-handed
NV Ojha,0,1360,,,,right,role = Wicket-keeper batsman,Right-handed
KK Nair,0,1332,,,,right,Right-arm off break,Right-handed
DT Christian,922,408,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
TM Dilshan,275,1047,spin,right,finger,right,Right-arm off spin,Right-handed
PP Shaw,0,1321,,,,right,Right-arm off break,Right-handed
A Symonds,540,781,spin,right,finger,right,Right-arm medium Right-arm off break }},Right-handed
H Klaasen,0,1320,,,,right,Right-arm off spin,Right-handed
STR Binny,611,700,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
VR Iyer,84,1223,pace,right,,left,Right-arm fast medium medium,Left-handed
C Green,603,702,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
M Kartik,1182,109,spin,left,finger,left,Slow left arm orthodox,Left-handed
SS Tiwary,0,1291,,,,left,Right-arm off-break,Left-handed
S Kaul,1238,36,pace,right,,right,Right-arm fast bowling medium,Right handed
M Jansen,1081,186,pace,left,,right,Left-arm fast bowling fast,Right-handed
JR Hazlewood,1214,31,pace,right,,left,Right-arm Fast bowling fast-medium,Left-handed
S Badrinath,0,1245,,,,right,Right-arm off break,Right-handed
V Shankar,258,985,pace,right,,right,Right-arm Fast bowling medium,Right-handed
TU Deshpande,1194,38,pace,right,,left,Right-arm medium,Left-handed
A Nortje,1169,52,pace,right,,right,Right-arm Fast bowling fast,Right-handed
P Simran Singh,0,1220,,,,right,,Right-handed
Noor Ahmad,1141,59,spin,left,wrist,right,Left-arm unorthodox spin,Right-handed
LH Ferguson,1145,49,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Shahbaz Ahmed,675,516,spin,left,finger,left,Slow left-arm orthodox,Left-handed
JM Bairstow,0,1181,,,,right,,Right-handed
EJG Morgan,0,1179,,,,left,role = Batting order (cricket)#Middle order Middle-order batter,Left-handed
S Gopal,1000,173,spin,right,wrist,right,Right-arm leg break,Right-handed
VR Aaron,1065,73,pace,right,,right,Right-arm fast,Right-handed
SB Jakati,1101,30,spin,left,finger,left,Slow left-arm orthodox,Left-handed
SO Hetmyer,0,1106,,,,left,,Left-handed
Harpreet Brar,875,217,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Y Venugopal Rao,222,865,spin,right,finger,right,Right arm off spin,Right-handed
J Botha,709,364,spin,right,finger,right,Right-arm off break,Right-handed
LS Livingstone,321,725,spin,right,wrist,right,"Right-arm Off spin off break , Leg spin leg break }}",Right-handed
NLTC Perera,715,324,pace,right,,left,Right-arm Fast bowling medium-fast,Left-handed
RM Patidar,0,1035,,,,right,Right-arm Off spin off break,Right-handed
P Negi,733,301,spin,left,finger,left,Slow left-arm orthodox,Left-handed
A Kumble,983,49,spin,right,wrist,right,leg spin Leg break,Right-handed
Iqbal Abdulla,943,86,spin,left,finger,left,Slow left-arm orthodox,Left-handed
TM Head,64,959,spin,right,finger,left,Right-arm off break,Left-handed
B Lee,916,102,pace,right,,right,Right-arm fast bowling fast,Right-handed
KM Jadhav,0,1012,,,,right,Right-arm off-break,Right-handed
R Sharma,935,77,spin,right,wrist,right,Legbreak googly,Right-handed
S Sreesanth,947,57,pace,right,,right,Right-arm fast-medium,Right-handed
RK Singh,0,1004,,,,left,Right-arm off break,Left-handed
MS Gony,925,76,pace,right,,right,Right-arm fast bowling medium,Right-handed
AB Agarkar,820,160,pace,right,,right,right-arm fast medium,right-handed
RJ Harris,865,112,pace,right,,right,Right-arm fast bowling fast,Right-handed
CA Lynn,0,974,,,,right,Slow left-arm orthodox,Right-handed
NM Coulter-Nile,892,75,pace,right,,right,Right-arm fast,Right-handed
VG Arora,931,28,pace,right,,right,Right arm Fast bowling medium-fast,Right-handed
PJ Sangwan,905,47,pace,left,,right,Left-arm Fast bowling medium,Right-handed
M Ashwin,898,50,spin,right,wrist,right,Right-arm leg break,Right-handed
KP Pietersen,180,758,spin,right,finger,right,Right arm off break,Right-handed
M Theekshana,902,34,spin,right,finger,right,Right-arm off spin off break,Right-handed
Yash Dayal,920,9,pace,left,,right,Left arm fast bowling fast-medium,Right-handed
A Badoni,41,885,spin,right,finger,right,Right arm Offspin off break,Right-handed
Nithish Kumar Reddy,349,566,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
DL Vettori,785,118,spin,left,finger,left,Slow left-arm orthodox,Left-handed
PWH de Silva,808,95,spin,right,wrist,right,Right-arm Leg break,Right-handed
Mukesh Kumar,879,20,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
LMP Simmons,18,878,pace,right,,right,Types of bowlers in cricket Right-arm fast-medium,Right-handed
R Dhawan,693,188,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
ST Jayasuriya,301,573,spin,left,finger,left,Slow left arm orthodox,Left-handed
M Vohra,0,863,,,,right,Right arm Fast bowling fast-medium,Right-handed
Azhar Mahmood,552,311,pace,right,,right,Right-arm medium-fast,Right-handed
LRPL Taylor,13,847,spin,right,finger,right,Right-arm off break,Right-handed
S Aravind,788,59,pace,left,,left,Left-arm medium-fast,Left-handed
WD Parnell,758,86,pace,left,,left,Left-arm Fast bowling medium-fast,Left-handed
ML Hayden,0,838,,,,left,Right-arm fast-medium,Left-handed
HH Gibbs,0,837,,,,right,Right arm fast bowling medium,Right-handed
MJ Santner,704,132,spin,left,finger,left,Slow left-arm orthodox,Left-handed
AM Nayar,239,588,pace,right,,left,Right-arm Fast bowling Medium,Left-handed
Suyash Sharma,822,0,spin,right,wrist,right,Right-arm leg spin leg-break,Right-handed
CL White,46,769,spin,right,wrist,right,Right-arm leg break,Right-handed
M Markande,768,44,spin,right,wrist,right,Right-arm leg break,Right-handed
Dhruv Jurel,0,801,,,,right,,Right-handed
Kartik Tyagi,775,26,pace,right,,right,Right arm fast,Right-handed
M Pathirana,797,0,pace,right,,right,Right-arm Fast bowling fast,Right-handed
DP Conway,0,794,,,,left,Right-arm Fast bowling medium,Left-handed
AJ Tye,714,79,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
CJ Jordan,709,81,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
P Awana,774,14,pace,right,,right,manual (docs/BOWLER_STYLE_TODO.md),Right-handed
K Gowtham,599,159,spin,right,finger,right,Right-arm off-break,Right-handed
JM Sharma,0,752,,,,right,,Right-handed
CJ Anderson,315,436,pace,left,,left,Left-arm Fast bowling medium-fast,Left-handed
PD Salt,0,746,,,,right,Right-arm off spin,Right-handed
Shivam Mavi,687,58,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
TL Suman,152,587,spin,right,finger,right,Right-arm off break,Right-handed
MS Bisla,0,737,,,,right,role = Wicket-keeper,Right-handed
Harshit Rana,679,57,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Navdeep Saini,695,38,pace,right,,right,Right-arm Fast bowling fast,Right-handed
PV Tambe,674,39,spin,right,wrist,right,Right arm leg break,Right-handed
Mohsin Khan,678,31,pace,left,,left,Left arm Fast bowling medium fast,Left-handed
JD Ryder,241,466,pace,right,,left,Right-arm Fast bowling medium,Left-handed
T Stubbs,37,666,spin,right,finger,right,Right-arm Off spin off break,Right-handed
TH David,6,697,spin,right,finger,right,Right-arm off break,Right-handed
DP Nannes,689,13,pace,left,,right,Left-arm fast-medium,Right-handed
GC Smith,0,691,,,,left,Right arm off spin off break,Left-handed
LR Shukla,326,358,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
JR Hopes,369,314,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Shashank Singh,93,588,spin,right,finger,right,Right-arm Fast bowling medium Right-arm Off spin offbreak }},Right-handed
RS Bopara,213,468,pace,right,,right,Right-arm fast bowling medium,Right-handed
KK Cooper,600,70,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Abdul Samad,58,596,spin,right,wrist,right,Right-arm leg break,Right-handed
L Ngidi,645,9,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
A Raghuvanshi,0,628,,,,right,Slow left-arm orthodox,Right-handed
DE Bollinger,600,23,pace,left,,left,Left-arm Fast bowling fast,Left-handed
AS Rajpoot,567,41,pace,right,,right,Right-arm Fast Bowling#Categorisation medium-fast,Right-handed
