player,bowled,faced,bowler_type,bowler_arm,spin_kind,bat_hand,source_text,bat_source_text
UT Khawaja,0,105,,,,left,Right-arm off break,Left-handed
Urvil Patel,0,102,,,,right,role = Wicket keeper batter,Right handed
DG Nalkande,89,12,pace,right,,right,Right-arm Pace bowling fast-medium,Right-handed
DJ Jacobs,0,101,,,,right,Right-arm medium,Right-handed
GHS Garton,97,4,pace,left,,left,Left-arm fast medium,Left-handed
IR Jaggi,0,100,,,,right,role = Batsman,Right-handed
AD Nath,0,99,,,,right,Right-arm medium-fast,Right-handed
DJ Thornely,44,54,spin,right,finger,right,Right-arm medium Right-arm off spin,Right-handed
S Rana,16,82,pace,right,,right,Right arm fast medium,Right-handed
PR Shah,0,97,,,,right,role =Wicketkeeper Batter,Right-handed
RV Patel,20,76,pace,right,,right,Right arm Fast bowling medium,Right handed
AP Dole,73,23,pace,right,,right,Right-arm medium-fast,Right-handed
JJ van der Wath,76,17,pace,right,,right,Right-arm fast-medium,Right-handed
AC Blizzard,0,91,,,,left,Left-arm Seam bowling medium,Left-handed
Raghu Sharma,90,0,spin,right,wrist,right,Legbreak googly,Right-handed
SR Dubey,87,2,pace,left,,,manual (docs/BOWLER_STYLE_TODO.md),bowling =
AA Bilakhia,0,88,,,,right,Right-arm medium,Right-handed
Auqib Nabi,84,4,pace,right,,right,Right-arm Fast bowling medium,Right-handed
M Tiwari,75,12,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
DJ Muthuswami,84,3,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
PR Veer,12,72,spin,left,finger,left,Left-arm orthodox spin,Left-handed
Gagandeep Singh,84,0,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
Misbah-ul-Haq,0,82,,,,right,Right-arm leg break,Right-handed
SM Harwood,67,14,pace,right,,right,Right arm Fast bowling#Categorisation of fast bowling fast-medium,Right-handed
S Arora,0,81,,,,,,
JR Philippe,0,80,,,,right,role = Wicket-keeper-batter,Right-handed
RJ Peterson,48,32,spin,left,finger,left,Left arm orthodox spin Slow left arm orthodox,Left-handed
M Klinger,0,78,,,,right,role = Batsman (cricket) Batter,Right-handed
LA Carseldine,7,71,pace,left,,left,Left-arm medium,Left-handed
DNT Zoysa,69,9,pace,left,,left,Left-arm fast-medium,Left-handed
RR Sarwan,0,78,,,,right,Right arm leg spin leg break,Right-handed
Kamran Akmal,0,78,,,,right,Right-arm medium,Right-handed
SA Abbott,59,18,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
AP Majumdar,0,77,,,,right,Right-arm Leg spin leg break Googly,Right-handed
